week,date,home,score,away,xG,xG_1,venue,referee,home_goals,away_goals,season_start,result,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,home_rolling_avg_goals,away_rolling_avg_goals,home_rolling_avg_xG,away_rolling_avg_xG
5,2018-09-21,Huesca,0–1,Real Sociedad,0.6,0.2,Estadio El Alcoraz,Ignacio Iglesias,0.0,1.0,2018,Away win,True,False,False,False,False,False,False,1.5,1.5,1.35,1.25
5,2018-09-22,Rayo Vallecano,1–5,Alavés,1.5,1.3,Estadio del Rayo Vallecano,Adrián Cordero,1.0,5.0,2018,Away win,False,False,True,False,False,False,False,0.6666666666666666,0.75,1.5999999999999999,0.7749999999999999
5,2018-09-22,Eibar,1–0,Leganés,1.3,0.3,Estadio Municipal de Ipurúa,Mario Melero,1.0,0.0,2018,Home win,False,False,True,False,False,False,False,1.0,1.0,1.05,1.3
5,2018-09-22,Celta Vigo,3–3,Valladolid,1.9,2.1,Estadio de Balaídos,Eduardo Prieto,3.0,3.0,2018,Draw,False,False,True,False,False,False,False,1.75,0.0,1.15,0.6000000000000001
5,2018-09-22,Getafe,0–2,Atlético Madrid,0.6,1.1,Coliseum Alfonso Pérez,José Sánchez,0.0,2.0,2018,Away win,False,False,True,False,False,False,False,1.0,0.75,1.1749999999999998,1.125
5,2018-09-22,Real Madrid,1–0,Espanyol,1.0,0.4,Estadio Santiago Bernabéu,Antonio Matéu Lahoz,1.0,0.0,2018,Home win,False,False,True,False,False,False,False,2.75,1.25,2.3,1.175
5,2018-09-23,Levante,2–6,Sevilla,2.3,3.2,Estadio Ciudad de Valencia,Guillermo Cuadra,2.0,6.0,2018,Away win,False,False,False,True,False,False,False,1.5,1.0,1.7,1.625
5,2018-09-23,Villarreal,0–0,Valencia,0.7,0.4,Estadio de la Cerámica,Santiago Jaime,0.0,0.0,2018,Draw,False,False,False,True,False,False,False,0.5,0.75,1.05,2.025
5,2018-09-23,Betis,2–2,Athletic Club,1.1,0.6,Estadio Benito Villamarín,Daniel Ask,2.0,2.0,2018,Draw,False,False,False,True,False,False,False,0.25,1.6666666666666667,0.925,1.4000000000000001
5,2018-09-23,Barcelona,2–2,Girona,1.4,1.5,Camp Nou,Jesús Gil,2.0,2.0,2018,Draw,False,False,False,True,False,False,False,3.5,1.25,2.725,0.95
6,2018-09-25,Atlético Madrid,3–0,Huesca,0.9,0.9,Estadio Wanda Metropolitano,Pablo González,3.0,0.0,2018,Home win,False,False,False,False,False,True,False,1.0,1.2,1.1199999999999999,1.2
6,2018-09-25,Real Sociedad,2–2,Rayo Vallecano,1.6,2.1,Estadio Municipal de Anoeta,Juan Martínez,2.0,2.0,2018,Draw,False,False,False,False,False,True,False,1.4,0.75,1.04,1.575
6,2018-09-25,Espanyol,1–0,Eibar,0.9,0.3,RCDE Stadium,José Luis Munuera,1.0,0.0,2018,Home win,False,False,False,False,False,True,False,1.0,1.0,1.02,1.1
6,2018-09-26,Valencia,1–1,Celta Vigo,1.1,0.4,Estadio de Mestalla,Ricardo de Burgos,1.0,1.0,2018,Draw,False,False,False,False,False,False,True,0.6,2.0,1.7,1.3
6,2018-09-26,Sevilla,3–0,Real Madrid,2.4,1.5,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,3.0,0.0,2018,Home win,False,False,False,False,False,False,True,2.0,2.4,1.94,2.04
6,2018-09-26,Leganés,2–1,Barcelona,1.1,0.4,Estadio Municipal de Butarque,Alberto Undiano,2.0,1.0,2018,Home win,False,False,False,False,False,False,True,0.8,3.2,1.1,2.46
6,2018-09-26,Athletic Club,0–3,Villarreal,0.8,2.5,Estadio San Mamés,Carlos del Cerro,0.0,3.0,2018,Away win,False,False,False,False,False,False,True,1.75,0.4,1.2,0.9800000000000001
6,2018-09-27,Alavés,1–1,Getafe,1.7,1.1,Estadio de Mendizorroza,Eduardo Prieto,1.0,1.0,2018,Draw,False,False,False,False,True,False,False,1.6,0.8,0.8800000000000001,1.06
6,2018-09-27,Valladolid,2–1,Levante,1.0,0.8,Estadio Municipal José Zorrilla,David Medié,2.0,1.0,2018,Home win,False,False,False,False,True,False,False,0.6,1.6,0.9,1.8199999999999998
6,2018-09-27,Girona,0–1,Betis,0.8,1.6,Estadi Municipal de Montilivi,José González,0.0,1.0,2018,Away win,False,False,False,False,True,False,False,1.4,0.6,1.06,0.9600000000000002
7,2018-09-28,Rayo Vallecano,2–2,Espanyol,1.3,1.5,Estadio del Rayo Vallecano,Hsu Jason,2.0,2.0,2018,Draw,True,False,False,False,False,False,False,1.0,1.0,1.6800000000000002,1.08
7,2018-09-29,Real Madrid,0–0,Atlético Madrid,1.2,0.8,Estadio Santiago Bernabéu,Juan Martínez,0.0,0.0,2018,Draw,False,False,True,False,False,False,False,2.0,1.4,2.1399999999999997,1.1199999999999999
7,2018-09-29,Real Sociedad,0–1,Valencia,1.3,0.9,Estadio Municipal de Anoeta,Jesús Gil,0.0,1.0,2018,Away win,False,False,True,False,False,False,False,1.4,0.6,1.22,1.7
7,2018-09-29,Barcelona,1–1,Athletic Club,3.2,0.9,Camp Nou,Santiago Jaime,1.0,1.0,2018,Draw,False,False,True,False,False,False,False,2.8,1.4,1.9,1.12
7,2018-09-29,Eibar,1–3,Sevilla,0.8,2.0,Estadio Municipal de Ipurúa,Daniel Ask,1.0,3.0,2018,Away win,False,False,True,False,False,False,False,0.8,1.8,0.9,1.86
7,2018-09-30,Levante,2–1,Alavés,1.6,0.9,Estadio Ciudad de Valencia,Mario Melero,2.0,1.0,2018,Home win,False,False,False,True,False,False,False,1.2,1.8,1.48,1.16
7,2018-09-30,Betis,1–0,Leganés,1.7,0.5,Estadio Benito Villamarín,José Sánchez,1.0,0.0,2018,Home win,False,False,False,True,False,False,False,0.8,1.0,1.1,1.1199999999999999
7,2018-09-30,Huesca,1–1,Girona,1.5,1.7,Estadio El Alcoraz,Adrián Cordero,1.0,1.0,2018,Draw,False,False,False,True,False,False,False,0.8,1.4,1.0399999999999998,1.0799999999999998
7,2018-09-30,Villarreal,0–1,Valladolid,2.8,0.8,Estadio de la Cerámica,Ignacio Iglesias,0.0,1.0,2018,Away win,False,False,False,True,False,False,False,0.8,1.0,1.1600000000000001,1.1
7,2018-10-01,Celta Vigo,1–1,Getafe,0.5,1.2,Estadio de Balaídos,Guillermo Cuadra,1.0,1.0,2018,Draw,False,True,False,False,False,False,False,2.0,1.0,1.2600000000000002,1.2399999999999998
8,2018-10-05,Athletic Club,1–3,Real Sociedad,1.4,2.2,San Mamés,Alejandro Hernández,1.0,3.0,2018,Away win,True,False,False,False,False,False,False,1.2,1.0,0.86,1.1600000000000001
8,2018-10-06,Girona,2–3,Eibar,1.2,1.7,Estadi Municipal de Montilivi,Eduardo Prieto,2.0,3.0,2018,Away win,False,False,True,False,False,False,False,1.4,1.0,1.34,0.9400000000000001
8,2018-10-06,Getafe,0–1,Levante,1.1,1.0,Coliseum Alfonso Pérez,José Luis Munuera,0.0,1.0,2018,Away win,False,False,True,False,False,False,False,0.8,1.4,1.2,1.4200000000000002
8,2018-10-06,Alavés,1–0,Real Madrid,1.1,0.8,Estadio de Mendizorroza,Santiago Jaime,1.0,0.0,2018,Home win,False,False,True,False,False,False,False,2.0,1.2,1.22,1.6
8,2018-10-06,Leganés,1–0,Rayo Vallecano,0.9,0.4,Estadio Municipal de Butarque,David Medié,1.0,0.0,2018,Home win,False,False,True,False,False,False,False,0.6,1.2,0.8800000000000001,1.52
8,2018-10-07,Valladolid,1–0,Huesca,0.8,0.6,Estadio Municipal José Zorrilla,Antonio Matéu Lahoz,1.0,0.0,2018,Home win,False,False,False,True,False,False,False,1.2,0.6,1.18,1.28
8,2018-10-07,Atlético Madrid,1–0,Betis,0.6,0.3,Estadio Wanda Metropolitano,Alberto Undiano,1.0,0.0,2018,Home win,False,False,False,True,False,False,False,1.2,1.0,1.1,1.26
8,2018-10-07,Sevilla,2–1,Celta Vigo,1.8,0.7,Estadio Ramón Sánchez Pizjuán,Pablo González,2.0,1.0,2018,Home win,False,False,False,True,False,False,False,2.4,1.8,1.8799999999999997,0.86
8,2018-10-07,Espanyol,3–1,Villarreal,2.4,1.5,RCDE Stadium,Ricardo de Burgos,3.0,1.0,2018,Home win,False,False,False,True,False,False,False,1.0,0.8,1.1199999999999999,1.52
8,2018-10-07,Valencia,1–1,Barcelona,1.5,0.4,Estadio de Mestalla,José González,1.0,1.0,2018,Draw,False,False,False,True,False,False,False,0.8,2.8,1.5,2.3400000000000003
