week,date,day,home,score,away,xG,xG_1,venue,referee
15,2019-11-29,Fri,Celta Vigo,0–0,Valladolid,1.1,0.4,Estadio de Balaídos,Hsu Jason
15,2019-11-30,Sat,Alavés,1–2,Real Madrid,1.3,1.8,Estadio de Mendizorroza,Guillermo Cuadra
15,2019-11-30,Sat,Real Sociedad,4–1,Eibar,1.1,0.6,Estadio Municipal de Anoeta,Carlos del Cerro
15,2019-11-30,Sat,Mallorca,1–2,Betis,2.8,2.2,Iberostar Estadi,Juan Martínez
15,2019-11-30,Sat,Valencia,2–1,Villarreal,1.5,2.1,Estadio de Mestalla,César Soto
15,2019-12-01,Sun,Sevilla,1–0,Leganés,2.1,0.7,Estadio Ramón Sánchez Pizjuán,Ricardo de Burgos
15,2019-12-01,Sun,Athletic Club,2–0,Granada,1.9,1.0,San Mamés,Adrián Cordero
15,2019-12-01,Sun,Espanyol,2–4,Osasuna,1.6,2.7,RCDE Stadium,Mario Melero
15,2019-12-01,Sun,Getafe,4–0,Levante,1.8,0.6,Coliseum Alfonso Pérez,Daniel Ask
15,2019-12-01,Sun,Atlético Madrid,0–1,Barcelona,1.4,0.9,Estadio Wanda Metropolitano,Antonio Matéu Lahoz
16,2019-12-06,Fri,Villarreal,0–0,Atlético Madrid,1.5,1.6,Estadio de la Cerámica,Alejandro Hernández
16,2019-12-07,Sat,Real Madrid,2–0,Espanyol,2.4,0.5,Estadio Santiago Bernabéu,Santiago Jaime
16,2019-12-07,Sat,Granada,3–0,Alavés,2.5,0.3,Estadio Nuevo Los Cármenes,Jesús Gil
16,2019-12-07,Sat,Levante,2–4,Valencia,2.1,3.0,Estadio Ciudad de Valencia,David Medié
16,2019-12-07,Sat,Barcelona,5–2,Mallorca,3.7,1.3,Camp Nou,José Luis Munuera
16,2019-12-08,Sun,Eibar,0–1,Getafe,0.3,0.9,Estadio Municipal de Ipurúa,Eduardo Prieto
16,2019-12-08,Sun,Betis,3–2,Athletic Club,2.0,1.0,Estadio Benito Villamarín,Valentín Pizarro
16,2019-12-08,Sun,Valladolid,0–0,Real Sociedad,0.6,1.7,Estadio Municipal José Zorrilla,Pablo González
16,2019-12-08,Sun,Leganés,3–2,Celta Vigo,1.0,0.5,Estadio Municipal de Butarque,José Sánchez
16,2019-12-08,Sun,Osasuna,1–1,Sevilla,0.8,1.5,Estadio El Sadar,Daniel Ask
17,2019-12-13,Fri,Alavés,1–1,Leganés,1.2,0.7,Estadio de Mendizorroza,César Soto
17,2019-12-14,Sat,Granada,1–2,Levante,1.2,1.0,Estadio Nuevo Los Cármenes,Carlos del Cerro
17,2019-12-14,Sat,Real Sociedad,2–2,Barcelona,2.7,1.2,Estadio Municipal de Anoeta,Hsu Jason
17,2019-12-14,Sat,Athletic Club,0–0,Eibar,0.9,0.4,San Mamés,Mario Melero
17,2019-12-14,Sat,Atlético Madrid,2–0,Osasuna,2.5,0.7,Estadio Wanda Metropolitano,José Luis Munuera
17,2019-12-15,Sun,Getafe,2–0,Valladolid,1.5,0.5,Coliseum Alfonso Pérez,Antonio Matéu Lahoz
17,2019-12-15,Sun,Celta Vigo,2–2,Mallorca,2.2,1.6,Estadio de Balaídos,Ricardo de Burgos
17,2019-12-15,Sun,Espanyol,2–2,Betis,1.4,0.9,RCDE Stadium,Guillermo Cuadra
17,2019-12-15,Sun,Sevilla,1–2,Villarreal,1.7,1.5,Estadio Ramón Sánchez Pizjuán,Adrián Cordero
17,2019-12-15,Sun,Valencia,1–1,Real Madrid,2.3,1.7,Estadio de Mestalla,José Sánchez
10,2019-12-18,Wed,Barcelona,0–0,Real Madrid,0.9,0.8,Camp Nou,Alejandro Hernández
18,2019-12-20,Fri,Eibar,3–0,Granada,1.9,1.7,Estadio Municipal de Ipurúa,Pablo González
18,2019-12-21,Sat,Mallorca,0–2,Sevilla,0.8,1.6,Iberostar Estadi,Jesús Gil
18,2019-12-21,Sat,Barcelona,4–1,Alavés,1.3,0.4,Camp Nou,Mario Melero
18,2019-12-21,Sat,Villarreal,1–0,Getafe,2.3,0.6,Estadio de la Cerámica,Santiago Jaime
18,2019-12-21,Sat,Valladolid,1–1,Valencia,0.8,1.2,Estadio Municipal José Zorrilla,Valentín Pizarro
18,2019-12-22,Sun,Leganés,2–0,Espanyol,1.0,0.7,Estadio Municipal de Butarque,Hsu Jason
18,2019-12-22,Sun,Osasuna,3–4,Real Sociedad,3.4,2.2,Estadio El Sadar,David Medié
18,2019-12-22,Sun,Betis,1–2,Atlético Madrid,1.1,1.6,Estadio Benito Villamarín,Daniel Ask
18,2019-12-22,Sun,Levante,3–1,Celta Vigo,2.7,0.9,Estadio Ciudad de Valencia,Eduardo Prieto
18,2019-12-22,Sun,Real Madrid,0–0,Athletic Club,2.5,0.4,Estadio Santiago Bernabéu,Adrián Cordero
19,2020-01-03,Fri,Valladolid,2–2,Leganés,1.8,2.3,Estadio Municipal José Zorrilla,Juan Martínez
19,2020-01-03,Fri,Sevilla,1–1,Athletic Club,1.3,0.2,Estadio Ramón Sánchez Pizjuán,José González
19,2020-01-04,Sat,Valencia,1–0,Eibar,1.0,1.0,Estadio de Mestalla,Alejandro Hernández
19,2020-01-04,Sat,Getafe,0–3,Real Madrid,1.3,1.8,Coliseum Alfonso Pérez,José Luis Munuera
19,2020-01-04,Sat,Atlético Madrid,2–1,Levante,1.2,0.9,Estadio Wanda Metropolitano,Ricardo de Burgos
19,2020-01-04,Sat,Espanyol,2–2,Barcelona,0.7,2.2,RCDE Stadium,Carlos del Cerro
19,2020-01-05,Sun,Granada,1–0,Mallorca,1.3,1.1,Estadio Nuevo Los Cármenes,César Soto
19,2020-01-05,Sun,Real Sociedad,1–2,Villarreal,0.9,1.4,Estadio Municipal de Anoeta,José Sánchez
19,2020-01-05,Sun,Alavés,1–1,Betis,0.3,1.9,Estadio de Mendizorroza,Antonio Matéu Lahoz
19,2020-01-05,Sun,Celta Vigo,1–1,Osasuna,1.6,0.7,Estadio de Balaídos,Guillermo Cuadra
20,2020-01-17,Fri,Leganés,0–3,Getafe,0.4,1.3,Estadio Municipal de Butarque,Daniel Ask
20,2020-01-18,Sat,Levante,0–1,Alavés,1.2,2.1,Estadio Ciudad de Valencia,Guillermo Cuadra
20,2020-01-18,Sat,Real Madrid,2–1,Sevilla,1.3,0.4,Estadio Santiago Bernabéu,Juan Martínez
20,2020-01-18,Sat,Osasuna,0–0,Valladolid,1.9,0.5,Estadio El Sadar,Hsu Jason
20,2020-01-18,Sat,Eibar,2–0,Atlético Madrid,0.8,1.1,Estadio Municipal de Ipurúa,Jesús Gil
20,2020-01-19,Sun,Mallorca,4–1,Valencia,1.9,0.4,Iberostar Estadi,Mario Melero
20,2020-01-19,Sun,Betis,3–0,Real Sociedad,1.8,0.3,Estadio Benito Villamarín,Adrián Cordero
20,2020-01-19,Sun,Villarreal,1–2,Espanyol,2.4,1.7,Estadio de la Cerámica,Pablo González
20,2020-01-19,Sun,Athletic Club,1–1,Celta Vigo,3.7,0.7,San Mamés,David Medié
20,2020-01-19,Sun,Barcelona,1–0,Granada,1.2,0.2,Camp Nou,Valentín Pizarro
21,2020-01-24,Fri,Osasuna,2–0,Levante,1.9,0.6,Estadio El Sadar,César Soto
21,2020-01-25,Sat,Espanyol,1–1,Athletic Club,0.6,0.8,RCDE Stadium,José Sánchez
21,2020-01-25,Sat,Valencia,2–0,Barcelona,1.2,1.1,Estadio de Mestalla,Jesús Gil
21,2020-01-25,Sat,Alavés,1–2,Villarreal,0.9,1.0,Estadio de Mendizorroza,José Luis Munuera
21,2020-01-25,Sat,Sevilla,2–0,Granada,0.8,0.6,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández
21,2020-01-26,Sun,Atlético Madrid,0–0,Leganés,1.0,0.4,Estadio Wanda Metropolitano,Antonio Matéu Lahoz
21,2020-01-26,Sun,Celta Vigo,0–0,Eibar,1.1,0.2,Estadio de Balaídos,José González
21,2020-01-26,Sun,Getafe,1–0,Betis,1.4,1.3,Coliseum Alfonso Pérez,Eduardo Prieto
21,2020-01-26,Sun,Real Sociedad,3–0,Mallorca,2.5,0.5,Estadio Municipal de Anoeta,Santiago Jaime
21,2020-01-26,Sun,Valladolid,0–1,Real Madrid,0.3,0.6,Estadio Municipal José Zorrilla,Ricardo de Burgos
22,2020-02-01,Sat,Granada,2–1,Espanyol,1.0,3.0,Estadio Nuevo Los Cármenes,Guillermo Cuadra
22,2020-02-01,Sat,Real Madrid,1–0,Atlético Madrid,1.1,0.4,Estadio Santiago Bernabéu,Daniel Ask
22,2020-02-01,Sat,Mallorca,0–1,Valladolid,0.6,1.2,Iberostar Estadi,David Medié
22,2020-02-01,Sat,Valencia,1–0,Celta Vigo,1.0,1.3,Estadio de Mestalla,Pablo González
22,2020-02-02,Sun,Leganés,2–1,Real Sociedad,1.2,0.2,Estadio Municipal de Butarque,Mario Melero
22,2020-02-02,Sun,Eibar,1–1,Betis,2.2,1.2,Estadio Municipal de Ipurúa,Juan Martínez
22,2020-02-02,Sun,Athletic Club,0–2,Getafe,0.9,1.7,San Mamés,Hsu Jason
22,2020-02-02,Sun,Villarreal,3–1,Osasuna,2.1,0.9,Estadio de la Cerámica,Valentín Pizarro
22,2020-02-02,Sun,Sevilla,1–1,Alavés,1.7,0.7,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro
22,2020-02-02,Sun,Barcelona,2–1,Levante,3.4,1.4,Camp Nou,Adrián Cordero
23,2020-02-07,Fri,Alavés,2–1,Eibar,1.3,0.1,Estadio de Mendizorroza,Eduardo Prieto
23,2020-02-08,Sat,Levante,2–0,Leganés,1.0,1.2,Estadio Ciudad de Valencia,José González
23,2020-02-08,Sat,Getafe,3–0,Valencia,2.9,0.3,Coliseum Alfonso Pérez,Ricardo de Burgos
23,2020-02-08,Sat,Valladolid,1–1,Villarreal,0.6,1.3,Estadio Municipal José Zorrilla,Alejandro Hernández
23,2020-02-08,Sat,Atlético Madrid,1–0,Granada,0.6,0.9,Estadio Wanda Metropolitano,César Soto
23,2020-02-09,Sun,Espanyol,1–0,Mallorca,1.6,0.6,RCDE Stadium,Antonio Matéu Lahoz
23,2020-02-09,Sun,Real Sociedad,2–1,Athletic Club,2.2,0.8,Estadio Municipal de Anoeta,José Luis Munuera
23,2020-02-09,Sun,Osasuna,1–4,Real Madrid,0.9,2.6,Estadio El Sadar,Jesús Gil
23,2020-02-09,Sun,Celta Vigo,2–1,Sevilla,1.6,1.2,Estadio de Balaídos,Santiago Jaime
23,2020-02-09,Sun,Betis,2–3,Barcelona,1.0,1.7,Estadio Benito Villamarín,José Sánchez
24,2020-02-14,Fri,Valencia,2–2,Atlético Madrid,1.3,1.2,Estadio de Mestalla,David Medié
24,2020-02-15,Sat,Mallorca,1–0,Alavés,2.1,0.9,Iberostar Estadi,Valentín Pizarro
24,2020-02-15,Sat,Barcelona,2–1,Getafe,1.8,1.3,Camp Nou,Guillermo Cuadra
24,2020-02-15,Sat,Villarreal,2–1,Levante,0.7,1.5,Estadio de la Cerámica,Mario Melero
24,2020-02-15,Sat,Granada,2–1,Valladolid,2.5,0.7,Estadio Nuevo Los Cármenes,Juan Martínez
24,2020-02-16,Sun,Sevilla,2–2,Espanyol,1.8,0.5,Estadio Ramón Sánchez Pizjuán,Adrián Cordero
24,2020-02-16,Sun,Leganés,0–0,Betis,0.6,0.6,Estadio Municipal de Butarque,Daniel Ask
24,2020-02-16,Sun,Athletic Club,0–1,Osasuna,0.8,0.6,San Mamés,Pablo González
24,2020-02-16,Sun,Real Madrid,2–2,Celta Vigo,2.0,1.0,Estadio Santiago Bernabéu,Hsu Jason
25,2020-02-21,Fri,Betis,3–3,Mallorca,3.3,0.9,Estadio Benito Villamarín,Jesús Gil
25,2020-02-22,Sat,Celta Vigo,1–0,Leganés,0.2,0.4,Estadio de Balaídos,José Luis Munuera
25,2020-02-22,Sat,Barcelona,5–0,Eibar,4.3,0.5,Camp Nou,César Soto
25,2020-02-22,Sat,Real Sociedad,3–0,Valencia,1.8,0.3,Estadio Municipal de Anoeta,José González
25,2020-02-22,Sat,Levante,1–0,Real Madrid,0.7,1.9,Estadio Ciudad de Valencia,Alejandro Hernández
25,2020-02-23,Sun,Osasuna,0–3,Granada,0.9,1.3,Estadio El Sadar,José Sánchez
25,2020-02-23,Sun,Alavés,2–1,Athletic Club,1.8,0.8,Estadio de Mendizorroza,Antonio Matéu Lahoz
25,2020-02-23,Sun,Valladolid,2–1,Espanyol,1.1,1.2,Estadio Municipal José Zorrilla,Eduardo Prieto
25,2020-02-23,Sun,Getafe,0–3,Sevilla,0.5,2.5,Coliseum Alfonso Pérez,Daniel Ask
25,2020-02-23,Sun,Atlético Madrid,3–1,Villarreal,1.7,0.4,Estadio Wanda Metropolitano,Ricardo de Burgos
26,2020-02-28,Fri,Real Sociedad,1–0,Valladolid,2.0,0.8,Estadio Municipal de Anoeta,Valentín Pizarro
26,2020-02-29,Sat,Eibar,3–0,Levante,2.7,0.7,Estadio Municipal de Ipurúa,Pablo González
26,2020-02-29,Sat,Valencia,2–1,Betis,1.0,1.0,Estadio de Mestalla,Adrián Cordero
26,2020-02-29,Sat,Leganés,1–1,Alavés,1.1,0.9,Estadio Municipal de Butarque,Juan Martínez
26,2020-02-29,Sat,Granada,0–0,Celta Vigo,1.0,0.3,Estadio Nuevo Los Cármenes,Guillermo Cuadra
26,2020-03-01,Sun,Sevilla,3–2,Osasuna,2.4,1.7,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro
26,2020-03-01,Sun,Athletic Club,1–0,Villarreal,2.6,1.0,San Mamés,David Medié
26,2020-03-01,Sun,Espanyol,1–1,Atlético Madrid,1.2,0.9,RCDE Stadium,Hsu Jason
26,2020-03-01,Sun,Mallorca,0–1,Getafe,0.1,0.9,Iberostar Estadi,Mario Melero
26,2020-03-01,Sun,Real Madrid,2–0,Barcelona,1.1,1.5,Estadio Santiago Bernabéu,Antonio Matéu Lahoz
27,2020-03-06,Fri,Alavés,1–1,Valencia,1.0,0.7,Estadio de Mendizorroza,Jesús Gil
27,2020-03-07,Sat,Eibar,1–2,Mallorca,0.9,0.8,Estadio Municipal de Ipurúa,Daniel Ask
27,2020-03-07,Sat,Atlético Madrid,2–2,Sevilla,2.0,1.7,Estadio Wanda Metropolitano,Alejandro Hernández
27,2020-03-07,Sat,Barcelona,1–0,Real Sociedad,2.2,0.5,Camp Nou,Juan Martínez
27,2020-03-07,Sat,Getafe,0–0,Celta Vigo,1.1,0.2,Coliseum Alfonso Pérez,José Sánchez
27,2020-03-08,Sun,Osasuna,1–0,Espanyol,2.4,0.3,Estadio El Sadar,Ricardo de Burgos
27,2020-03-08,Sun,Valladolid,1–4,Athletic Club,2.1,1.1,Estadio Municipal José Zorrilla,José Luis Munuera
27,2020-03-08,Sun,Levante,1–1,Granada,0.9,1.2,Estadio Ciudad de Valencia,Eduardo Prieto
27,2020-03-08,Sun,Villarreal,1–2,Leganés,2.1,1.9,Estadio de la Cerámica,César Soto
27,2020-03-08,Sun,Betis,2–1,Real Madrid,1.3,2.1,Estadio Benito Villamarín,José González
24,2020-03-10,Tue,Eibar,1–2,Real Sociedad,2.0,1.2,Estadio Municipal de Ipurúa,David Medié
28,2020-06-11,Thu,Sevilla,2–0,Betis,1.7,0.5,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz
28,2020-06-12,Fri,Granada,2–1,Getafe,2.3,0.6,Estadio Nuevo Los Cármenes,David Medié
28,2020-06-12,Fri,Valencia,1–1,Levante,1.0,1.4,Estadio de Mestalla,Hsu Jason
28,2020-06-13,Sat,Espanyol,2–0,Alavés,2.5,0.1,RCDE Stadium,Pablo González
28,2020-06-13,Sat,Celta Vigo,0–1,Villarreal,0.2,1.7,Estadio de Balaídos,Valentín Pizarro
28,2020-06-13,Sat,Leganés,1–2,Valladolid,1.4,1.0,Estadio Municipal de Butarque,Mario Melero
28,2020-06-13,Sat,Mallorca,0–4,Barcelona,1.1,2.2,Iberostar Estadi,Carlos del Cerro
28,2020-06-14,Sun,Athletic Club,1–1,Atlético Madrid,0.4,1.3,San Mamés,José González
28,2020-06-14,Sun,Real Madrid,3–1,Eibar,1.0,0.5,Estadio Alfredo Di Stéfano,Guillermo Cuadra
28,2020-06-14,Sun,Real Sociedad,1–1,Osasuna,1.0,1.1,Estadio Municipal de Anoeta,Adrián Cordero
29,2020-06-15,Mon,Levante,1–1,Sevilla,0.9,0.9,Estadio Ciudad de Valencia,Alejandro Hernández
29,2020-06-15,Mon,Betis,2–2,Granada,1.7,1.0,Estadio Benito Villamarín,César Soto
29,2020-06-16,Tue,Getafe,0–0,Espanyol,2.1,0.3,Coliseum Alfonso Pérez,José Luis Munuera
29,2020-06-16,Tue,Villarreal,1–0,Mallorca,1.5,1.6,Estadio de la Cerámica,Daniel Ask
29,2020-06-16,Tue,Barcelona,2–0,Leganés,1.6,0.8,Camp Nou,Juan Martínez
29,2020-06-17,Wed,Eibar,2–2,Athletic Club,2.1,1.4,Estadio Municipal de Ipurúa,Eduardo Prieto
29,2020-06-17,Wed,Valladolid,0–0,Celta Vigo,0.4,1.1,Estadio Municipal José Zorrilla,Jesús Gil
29,2020-06-17,Wed,Osasuna,0–5,Atlético Madrid,1.0,1.7,Estadio El Sadar,Ricardo de Burgos
29,2020-06-18,Thu,Alavés,2–0,Real Sociedad,1.5,0.5,Estadio de Mendizorroza,Santiago Jaime
29,2020-06-18,Thu,Real Madrid,3–0,Valencia,1.9,0.2,Estadio Alfredo Di Stéfano,José Sánchez
30,2020-06-19,Fri,Granada,0–1,Villarreal,1.0,0.5,Estadio Nuevo Los Cármenes,Guillermo Cuadra
30,2020-06-19,Fri,Mallorca,1–1,Leganés,0.4,1.3,Iberostar Estadi,Antonio Matéu Lahoz
30,2020-06-19,Fri,Sevilla,0–0,Barcelona,0.8,0.8,Estadio Ramón Sánchez Pizjuán,José González
30,2020-06-20,Sat,Espanyol,1–3,Levante,0.6,1.9,RCDE Stadium,Carlos del Cerro
30,2020-06-20,Sat,Athletic Club,1–0,Betis,1.7,1.8,San Mamés,Valentín Pizarro
30,2020-06-20,Sat,Getafe,1–1,Eibar,0.8,0.6,Coliseum Alfonso Pérez,Hsu Jason
30,2020-06-20,Sat,Atlético Madrid,1–0,Valladolid,1.1,0.3,Estadio Wanda Metropolitano,Pablo González
30,2020-06-21,Sun,Celta Vigo,6–0,Alavés,2.9,0.2,Estadio de Balaídos,Adrián Cordero
30,2020-06-21,Sun,Valencia,2–0,Osasuna,1.5,1.5,Estadio de Mestalla,David Medié
30,2020-06-21,Sun,Real Sociedad,1–2,Real Madrid,0.4,1.3,Estadio Municipal de Anoeta,Daniel Ask
31,2020-06-22,Mon,Villarreal,2–2,Sevilla,0.9,0.9,Estadio de la Cerámica,José Sánchez
31,2020-06-22,Mon,Leganés,0–0,Granada,1.2,0.1,Estadio Municipal de Butarque,Ricardo de Burgos
31,2020-06-23,Tue,Levante,0–1,Atlético Madrid,0.9,0.9,Estadio Ciudad de Valencia,José Luis Munuera
31,2020-06-23,Tue,Valladolid,1–1,Getafe,1.5,0.7,Estadio Municipal José Zorrilla,César Soto
31,2020-06-23,Tue,Barcelona,1–0,Athletic Club,1.8,0.4,Camp Nou,Jesús Gil
31,2020-06-24,Wed,Alavés,0–1,Osasuna,0.9,1.1,Estadio de Mendizorroza,Alejandro Hernández
31,2020-06-24,Wed,Real Sociedad,0–1,Celta Vigo,0.8,0.9,Estadio Municipal de Anoeta,Eduardo Prieto
31,2020-06-24,Wed,Real Madrid,2–0,Mallorca,1.3,0.6,Estadio Alfredo Di Stéfano,Mario Melero
31,2020-06-25,Thu,Eibar,1–0,Valencia,0.6,0.4,Estadio Municipal de Ipurúa,Santiago Jaime
31,2020-06-25,Thu,Betis,1–0,Espanyol,0.9,1.1,Estadio Benito Villamarín,Juan Martínez
32,2020-06-26,Fri,Sevilla,1–1,Valladolid,1.7,0.6,Estadio Ramón Sánchez Pizjuán,Valentín Pizarro
32,2020-06-27,Sat,Athletic Club,3–1,Mallorca,2.6,1.3,San Mamés,Pablo González
32,2020-06-27,Sat,Celta Vigo,2–2,Barcelona,1.9,1.5,Estadio de Balaídos,Guillermo Cuadra
32,2020-06-27,Sat,Osasuna,2–1,Leganés,1.0,1.6,Estadio El Sadar,Hsu Jason
32,2020-06-27,Sat,Atlético Madrid,2–1,Alavés,1.8,1.0,Estadio Wanda Metropolitano,Mario Melero
32,2020-06-28,Sun,Levante,4–2,Betis,1.5,2.1,Estadio Ciudad de Valencia,Santiago Jaime
32,2020-06-28,Sun,Villarreal,2–0,Valencia,2.1,0.2,Estadio de la Cerámica,José González
32,2020-06-28,Sun,Granada,1–2,Eibar,1.5,1.7,Estadio Nuevo Los Cármenes,Carlos del Cerro
32,2020-06-28,Sun,Espanyol,0–1,Real Madrid,0.8,2.1,RCDE Stadium,Antonio Matéu Lahoz
32,2020-06-29,Mon,Getafe,2–1,Real Sociedad,1.4,0.8,Coliseum Alfonso Pérez,Adrián Cordero
33,2020-06-30,Tue,Mallorca,5–1,Celta Vigo,1.5,1.4,Iberostar Estadi,Ricardo de Burgos
33,2020-06-30,Tue,Leganés,0–3,Sevilla,0.8,0.6,Estadio Municipal de Butarque,César Soto
33,2020-06-30,Tue,Barcelona,2–2,Atlético Madrid,1.9,1.9,Camp Nou,Alejandro Hernández
33,2020-07-01,Wed,Alavés,0–2,Granada,1.1,1.3,Estadio de Mendizorroza,Eduardo Prieto
33,2020-07-01,Wed,Valencia,0–2,Athletic Club,1.0,0.7,Estadio de Mestalla,Daniel Ask
33,2020-07-01,Wed,Valladolid,0–0,Levante,1.6,0.4,Estadio Municipal José Zorrilla,David Medié
33,2020-07-01,Wed,Betis,0–2,Villarreal,0.5,2.4,Estadio Benito Villamarín,Jesús Gil
33,2020-07-02,Thu,Real Sociedad,2–1,Espanyol,1.5,0.2,Estadio Municipal de Anoeta,José Sánchez
33,2020-07-02,Thu,Eibar,0–2,Osasuna,0.9,0.9,Estadio Municipal de Ipurúa,José Luis Munuera
33,2020-07-02,Thu,Real Madrid,1–0,Getafe,1.8,0.5,Estadio Alfredo Di Stéfano,Juan Martínez
34,2020-07-03,Fri,Atlético Madrid,3–0,Mallorca,2.7,0.8,Estadio Wanda Metropolitano,Hsu Jason
34,2020-07-04,Sat,Celta Vigo,1–1,Betis,0.2,0.6,Estadio de Balaídos,Pablo González
34,2020-07-04,Sat,Valladolid,1–0,Alavés,0.5,0.4,Estadio Municipal José Zorrilla,Santiago Jaime
34,2020-07-04,Sat,Granada,2–2,Valencia,2.3,0.7,Estadio Nuevo Los Cármenes,Adrián Cordero
34,2020-07-05,Sun,Athletic Club,0–1,Real Madrid,0.3,2.5,San Mamés,José González
34,2020-07-05,Sun,Espanyol,0–1,Leganés,0.8,0.4,RCDE Stadium,Guillermo Cuadra
34,2020-07-05,Sun,Osasuna,0–0,Getafe,0.6,0.3,Estadio El Sadar,Mario Melero
34,2020-07-05,Sun,Villarreal,1–4,Barcelona,0.9,2.4,Estadio de la Cerámica,Carlos del Cerro
34,2020-07-06,Mon,Levante,1–1,Real Sociedad,1.1,0.8,Estadio Ciudad de Valencia,Valentín Pizarro
34,2020-07-06,Mon,Sevilla,1–0,Eibar,1.3,1.5,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz
35,2020-07-07,Tue,Valencia,2–1,Valladolid,1.1,0.5,Estadio de Mestalla,Ricardo de Burgos
35,2020-07-07,Tue,Celta Vigo,1–1,Atlético Madrid,0.4,1.2,Estadio de Balaídos,José Sánchez
35,2020-07-08,Wed,Betis,3–0,Osasuna,1.8,0.4,Estadio Benito Villamarín,Alejandro Hernández
35,2020-07-08,Wed,Getafe,1–3,Villarreal,0.3,2.1,Coliseum Alfonso Pérez,Daniel Ask
35,2020-07-08,Wed,Barcelona,1–0,Espanyol,1.0,0.9,Camp Nou,José Luis Munuera
35,2020-07-09,Thu,Mallorca,2–0,Levante,1.3,1.1,Iberostar Estadi,César Soto
35,2020-07-09,Thu,Eibar,0–0,Leganés,0.2,0.4,Estadio Municipal de Ipurúa,Eduardo Prieto
35,2020-07-09,Thu,Athletic Club,1–2,Sevilla,0.9,1.7,San Mamés,David Medié
35,2020-07-10,Fri,Real Sociedad,2–3,Granada,1.5,0.6,Estadio Municipal de Anoeta,Juan Martínez
35,2020-07-10,Fri,Real Madrid,2–0,Alavés,2.2,1.2,Estadio Alfredo Di Stéfano,Jesús Gil
36,2020-07-11,Sat,Osasuna,2–1,Celta Vigo,1.4,0.9,Estadio El Sadar,Valentín Pizarro
36,2020-07-11,Sat,Valladolid,0–1,Barcelona,1.2,0.9,Estadio Municipal José Zorrilla,Antonio Matéu Lahoz
36,2020-07-11,Sat,Atlético Madrid,1–0,Betis,0.7,1.1,Estadio Wanda Metropolitano,José González
36,2020-07-12,Sun,Espanyol,0–2,Eibar,0.7,2.0,RCDE Stadium,Carlos del Cerro
36,2020-07-12,Sun,Levante,1–2,Athletic Club,1.1,0.9,Estadio Ciudad de Valencia,Hsu Jason
36,2020-07-12,Sun,Leganés,1–0,Valencia,1.2,1.5,Estadio Municipal de Butarque,Mario Melero
36,2020-07-12,Sun,Sevilla,2–0,Mallorca,1.7,0.4,Estadio Ramón Sánchez Pizjuán,Adrián Cordero
36,2020-07-13,Mon,Alavés,0–0,Getafe,0.2,0.7,Estadio de Mendizorroza,Pablo González
36,2020-07-13,Mon,Villarreal,1–2,Real Sociedad,0.4,1.3,Estadio de la Cerámica,Guillermo Cuadra
36,2020-07-13,Mon,Granada,1–2,Real Madrid,0.9,0.4,Estadio Nuevo Los Cármenes,Santiago Jaime
37,2020-07-16,Thu,Eibar,3–1,Valladolid,2.7,2.0,Estadio Municipal de Ipurúa,César Soto
37,2020-07-16,Thu,Celta Vigo,2–3,Levante,1.6,1.5,Estadio de Balaídos,José Luis Munuera
37,2020-07-16,Thu,Valencia,1–0,Espanyol,1.4,1.3,Estadio de Mestalla,Eduardo Prieto
37,2020-07-16,Thu,Real Sociedad,0–0,Sevilla,0.8,0.7,Estadio Municipal de Anoeta,Carlos del Cerro
37,2020-07-16,Thu,Mallorca,1–2,Granada,1.3,0.9,Iberostar Estadi,Daniel Ask
37,2020-07-16,Thu,Getafe,0–2,Atlético Madrid,1.8,1.2,Coliseum Alfonso Pérez,Antonio Matéu Lahoz
37,2020-07-16,Thu,Athletic Club,0–2,Leganés,0.7,2.0,San Mamés,Juan Martínez
37,2020-07-16,Thu,Barcelona,1–2,Osasuna,1.1,0.8,Camp Nou,José Sánchez
37,2020-07-16,Thu,Real Madrid,2–1,Villarreal,1.6,1.1,Estadio Alfredo Di Stéfano,Alejandro Hernández
37,2020-07-16,Thu,Betis,1–2,Alavés,2.1,1.8,Estadio Benito Villamarín,David Medié
38,2020-07-19,Sun,Alavés,0–5,Barcelona,0.3,3.3,Estadio de Mendizorroza,Juan Martínez
38,2020-07-19,Sun,Valladolid,2–0,Betis,1.1,0.5,Estadio Municipal José Zorrilla,Santiago Jaime
38,2020-07-19,Sun,Villarreal,4–0,Eibar,3.2,0.5,Estadio de la Cerámica,Hsu Jason
38,2020-07-19,Sun,Sevilla,1–0,Valencia,0.8,0.3,Estadio Ramón Sánchez Pizjuán,José González
38,2020-07-19,Sun,Atlético Madrid,1–1,Real Sociedad,1.6,0.4,Estadio Wanda Metropolitano,Pablo González
38,2020-07-19,Sun,Levante,1–0,Getafe,2.4,1.4,Estadio Ciudad de Valencia,Ricardo de Burgos
38,2020-07-19,Sun,Granada,4–0,Athletic Club,1.6,0.7,Estadio Nuevo Los Cármenes,Carlos del Cerro
38,2020-07-19,Sun,Leganés,2–2,Real Madrid,1.4,0.8,Estadio Municipal de Butarque,Guillermo Cuadra
