Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee
2.0,Mon,2018-08-27,22:00,Athletic Club,0.6,2–2,0.3,Huesca,36818.0,San Mamés,Hsu Jason
3.0,Fri,2018-08-31,20:00,Getafe,1.2,0–0,0.9,Valladolid,9817.0,Coliseum Alfonso Pérez,Adrián Cordero
3.0,Fri,2018-08-31,22:00,Villarreal,1.1,0–1,1.0,Girona,15740.0,Estadio de la Cerámica,Eduardo Prieto
3.0,Fri,2018-08-31,22:00,Eibar,1.0,2–1,1.3,Real Sociedad,6144.0,Estadio Municipal de Ipurúa,José Sánchez
3.0,Sat,2018-09-01,18:30,Celta Vigo,0.5,2–0,0.4,Atlético Madrid,19013.0,Estadio de Balaídos,Antonio Matéu Lahoz
3.0,Sat,2018-09-01,20:45,Real Madrid,2.5,4–1,1.1,Leganés,59255.0,Estadio Santiago Bernabéu,Santiago Jaime
3.0,Sun,2018-09-02,12:00,Levante,1.6,2–2,4.1,Valencia,24073.0,Estadio Ciudad de Valencia,Daniel Ask
3.0,Sun,2018-09-02,16:15,Alavés,1.4,2–1,1.2,Espanyol,18052.0,Estadio de Mendizorroza,Ignacio Iglesias
3.0,Sun,2018-09-02,18:30,Barcelona,5.3,8–2,1.7,Huesca,72892.0,Camp Nou,Mario Melero
3.0,Sun,2018-09-02,20:45,Betis,0.9,1–0,0.6,Sevilla,53451.0,Estadio Benito Villamarín,Jesús Gil
4.0,Fri,2018-09-14,21:00,Huesca,1.7,0–1,1.2,Rayo Vallecano,6498.0,Estadio El Alcoraz,David Medié
4.0,Sat,2018-09-15,13:00,Atlético Madrid,2.3,1–1,1.3,Eibar,55674.0,Estadio Wanda Metropolitano,Juan Martínez
4.0,Sat,2018-09-15,16:15,Real Sociedad,1.4,1–2,1.4,Barcelona,26756.0,Estadio Municipal de Anoeta,Carlos del Cerro
4.0,Sat,2018-09-15,18:30,Valencia,1.0,0–0,1.0,Betis,40050.0,Estadio de Mestalla,Alejandro Hernández
4.0,Sat,2018-09-15,20:45,Athletic Club,1.4,1–1,1.8,Real Madrid,46413.0,Estadio San Mamés,José González
4.0,Sun,2018-09-16,12:00,Leganés,1.4,0–1,0.5,Villarreal,10432.0,Estadio Municipal de Butarque,Pablo González
4.0,Sun,2018-09-16,16:15,Espanyol,1.6,1–0,0.8,Levante,18627.0,RCDE Stadium,Alberto Undiano
4.0,Sun,2018-09-16,18:30,Valladolid,1.1,0–1,0.8,Alavés,18873.0,Estadio Municipal José Zorrilla,José Luis Munuera
4.0,Sun,2018-09-16,20:45,Sevilla,1.2,0–2,1.9,Getafe,36943.0,Estadio Ramón Sánchez Pizjuán,Ricardo de Burgos
4.0,Mon,2018-09-17,21:00,Girona,1.7,3–2,1.0,Celta Vigo,9849.0,Estadi Municipal de Montilivi,Hsu Jason
5.0,Fri,2018-09-21,21:00,Huesca,0.6,0–1,0.2,Real Sociedad,6948.0,Estadio El Alcoraz,Ignacio Iglesias
5.0,Sat,2018-09-22,13:00,Rayo Vallecano,1.5,1–5,1.3,Alavés,12011.0,Estadio del Rayo Vallecano,Adrián Cordero
5.0,Sat,2018-09-22,16:15,Eibar,1.3,1–0,0.3,Leganés,4456.0,Estadio Municipal de Ipurúa,Mario Melero
5.0,Sat,2018-09-22,16:15,Celta Vigo,1.9,3–3,2.1,Valladolid,16552.0,Estadio de Balaídos,Eduardo Prieto
5.0,Sat,2018-09-22,18:30,Getafe,0.6,0–2,1.1,Atlético Madrid,12756.0,Coliseum Alfonso Pérez,José Sánchez
5.0,Sat,2018-09-22,20:45,Real Madrid,1.0,1–0,0.4,Espanyol,67658.0,Estadio Santiago Bernabéu,Antonio Matéu Lahoz
5.0,Sun,2018-09-23,12:00,Levante,2.3,2–6,3.2,Sevilla,21520.0,Estadio Ciudad de Valencia,Guillermo Cuadra
5.0,Sun,2018-09-23,16:15,Villarreal,0.7,0–0,0.4,Valencia,18373.0,Estadio de la Cerámica,Santiago Jaime
5.0,Sun,2018-09-23,20:00,Betis,1.1,2–2,0.6,Athletic Club,51093.0,Estadio Benito Villamarín,Daniel Ask
5.0,Sun,2018-09-23,20:45,Barcelona,1.4,2–2,1.5,Girona,76055.0,Camp Nou,Jesús Gil
6.0,Tue,2018-09-25,20:00,Espanyol,0.9,1–0,0.3,Eibar,13547.0,RCDE Stadium,José Luis Munuera
6.0,Tue,2018-09-25,21:00,Real Sociedad,1.6,2–2,2.1,Rayo Vallecano,21510.0,Estadio Municipal de Anoeta,Juan Martínez
6.0,Tue,2018-09-25,22:00,Atlético Madrid,0.9,3–0,0.9,Huesca,47023.0,Estadio Wanda Metropolitano,Pablo González
6.0,Wed,2018-09-26,20:00,Leganés,1.1,2–1,0.4,Barcelona,12231.0,Estadio Municipal de Butarque,Alberto Undiano
6.0,Wed,2018-09-26,20:00,Athletic Club,0.8,0–3,2.5,Villarreal,39672.0,Estadio San Mamés,Carlos del Cerro
6.0,Wed,2018-09-26,22:00,Sevilla,2.4,3–0,1.5,Real Madrid,40972.0,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández
